日期,开盘价(元/吨),最高价(元/吨),最低价(元/吨),收盘价(元/吨),成交量(手)
2019-05-06,"8,820.00","8,900.00","8,620.00","8,665.00","349,204"
2019-05-07,"8,710.00","8,720.00","8,545.00","8,615.00","301,676"
2019-05-08,"8,620.00","8,710.00","8,595.00","8,635.00","234,442"
2019-05-09,"8,635.00","8,690.00","8,580.00","8,620.00","203,022"
2019-05-10,"8,655.00","8,750.00","8,620.00","8,670.00","188,466"
2019-05-13,"8,690.00","9,115.00","8,670.00","9,115.00","123,494"
2019-05-14,"9,125.00","9,575.00","9,125.00","9,505.00","248,471"
2019-05-15,"9,505.00","9,865.00","9,385.00","9,660.00","240,050"
2019-05-16,"9,680.00","9,890.00","9,620.00","9,715.00","1,310,602"
2019-05-17,"9,750.00","9,795.00","9,625.00","9,755.00","832,474"
2019-05-20,"9,790.00","9,915.00","9,655.00","9,755.00","846,002"
2019-05-21,"9,775.00","9,905.00","9,700.00","9,840.00","755,190"
2019-05-22,"9,835.00","10,305.00","9,790.00","10,305.00","1,762,678"
2019-05-23,"10,335.00","10,415.00","10,255.00","10,350.00","1,183,050"
2019-05-24,"10,280.00","10,730.00","10,230.00","10,720.00","1,283,538"
2019-05-27,"10,600.00","10,935.00","10,480.00","10,560.00","1,777,008"
2019-05-28,"10,605.00","10,690.00","10,295.00","10,405.00","2,051,420"
2019-05-29,"10,460.00","10,645.00","10,395.00","10,550.00","1,087,784"
2019-05-30,"10,555.00","10,745.00","10,370.00","10,530.00","1,243,232"
2019-05-31,"10,520.00","10,590.00","10,340.00","10,485.00","908,096"
2019-06-03,"10,435.00","10,560.00","10,000.00","10,095.00","1,052,628"
2019-06-04,"10,145.00","10,190.00","9,955.00","10,150.00","780,736"
2019-06-05,"10,175.00","10,210.00","10,015.00","10,100.00","569,380"
2019-06-06,"10,030.00","10,030.00","9,625.00","9,750.00","875,070"
2019-06-10,"9,655.00","9,890.00","9,605.00","9,815.00","571,092"
2019-06-11,"9,850.00","9,995.00","9,810.00","9,960.00","536,422"
2019-06-12,"9,915.00","9,925.00","9,740.00","9,815.00","468,472"
2019-06-13,"9,850.00","10,305.00","9,850.00","10,305.00","972,664"
2019-06-14,"10,340.00","10,550.00","10,140.00","10,230.00","955,096"
2019-06-17,"10,260.00","10,445.00","10,130.00","10,440.00","544,104"
2019-06-18,"10,390.00","10,450.00","10,075.00","10,120.00","847,530"
2019-06-19,"10,180.00","10,310.00","10,110.00","10,225.00","597,684"
2019-06-20,"10,285.00","10,370.00","10,180.00","10,270.00","383,270"
2019-06-21,"10,360.00","10,515.00","10,285.00","10,475.00","552,382"
2019-06-24,"10,485.00","10,580.00","10,360.00","10,440.00","340,614"
2019-06-25,"10,430.00","10,475.00","10,310.00","10,395.00","263,788"
2019-06-26,"10,410.00","10,445.00","10,320.00","10,415.00","198,816"
2019-06-27,"10,415.00","10,675.00","10,365.00","10,505.00","488,372"
2019-06-28,"10,535.00","10,610.00","10,300.00","10,335.00","306,112"
2019-07-01,"10,380.00","10,380.00","10,185.00","10,285.00","218,390"
2019-07-02,"10,270.00","10,365.00","10,155.00","10,340.00","242,280"
2019-07-03,"10,305.00","10,440.00","10,230.00","10,330.00","235,456"
2019-07-04,"10,365.00","10,430.00","10,310.00","10,380.00","219,044"
2019-07-05,"10,395.00","10,415.00","10,220.00","10,315.00","186,760"
2019-07-08,"10,325.00","10,565.00","10,325.00","10,555.00","263,722"
2019-07-09,"10,625.00","10,645.00","10,425.00","10,490.00","224,112"
2019-07-10,"10,510.00","10,510.00","10,255.00","10,405.00","256,166"
2019-07-11,"10,430.00","10,460.00","10,285.00","10,415.00","172,482"
2019-07-12,"10,430.00","10,535.00","10,335.00","10,485.00","222,456"
2019-07-15,"10,485.00","10,615.00","10,405.00","10,470.00","214,094"
2019-07-16,"10,420.00","10,545.00","10,365.00","10,540.00","132,580"
2019-07-18,"10,435.00","10,480.00","10,335.00","10,360.00","154,826"
2019-07-19,"10,330.00","10,385.00","10,220.00","10,345.00","163,902"
2019-07-22,"10,380.00","10,380.00","10,185.00","10,315.00","134,604"
2019-07-23,"10,265.00","10,315.00","10,170.00","10,215.00","160,144"
2019-07-24,"10,150.00","10,215.00","9,995.00","10,135.00","217,544"
2019-07-25,"10,130.00","10,150.00","10,065.00","10,100.00","87,194"
2019-07-26,"10,080.00","10,235.00","10,025.00","10,230.00","147,524"
2019-07-29,"10,225.00","10,265.00","10,150.00","10,205.00","81,286"
2019-07-30,"10,230.00","10,325.00","10,180.00","10,280.00","105,646"
2019-07-31,"10,290.00","10,340.00","10,240.00","10,275.00","67,444"
2019-08-01,"10,235.00","10,285.00","10,120.00","10,130.00","105,114"
2019-08-02,"10,065.00","10,210.00","10,055.00","10,185.00","97,832"
2019-08-05,"10,225.00","10,270.00","10,030.00","10,125.00","125,128"
2019-08-06,"10,195.00","10,660.00","10,165.00","10,660.00","383,226"
2019-08-07,"10,750.00","10,825.00","10,545.00","10,695.00","388,616"
2019-08-08,"10,755.00","10,945.00","10,635.00","10,780.00","365,566"
2019-08-09,"10,805.00","10,870.00","10,580.00","10,785.00","285,950"
2019-08-12,"10,840.00","11,000.00","10,705.00","10,730.00","300,212"
2019-08-13,"10,770.00","10,770.00","10,610.00","10,645.00","190,880"
2019-08-14,"10,625.00","10,645.00","10,505.00","10,570.00","168,748"
2019-08-15,"10,550.00","10,660.00","10,525.00","10,650.00","101,144"
2019-08-16,"10,755.00","10,850.00","10,695.00","10,745.00","234,214"
2019-08-19,"10,840.00","10,840.00","10,735.00","10,750.00","115,476"
2019-08-20,"10,750.00","10,810.00","10,600.00","10,635.00","149,900"
2019-08-21,"10,635.00","10,750.00","10,545.00","10,745.00","112,074"
2019-08-22,"10,760.00","10,775.00","10,655.00","10,715.00","91,398"
2019-08-23,"10,700.00","10,750.00","10,635.00","10,705.00","102,756"
2019-08-26,"10,700.00","10,840.00","10,565.00","10,595.00","142,454"
2019-08-27,"10,555.00","10,700.00","10,525.00","10,695.00","97,432"
2019-08-28,"10,690.00","10,725.00","10,595.00","10,630.00","78,028"
2019-08-29,"10,655.00","10,820.00","10,645.00","10,760.00","148,988"
2019-08-30,"10,750.00","10,880.00","10,700.00","10,730.00","119,302"
2019-09-02,"10,735.00","10,760.00","10,615.00","10,695.00","83,024"
2019-09-03,"10,715.00","11,220.00","10,690.00","11,220.00","269,516"
2019-09-04,"11,310.00","11,555.00","11,300.00","11,475.00","410,850"
2019-09-05,"11,490.00","11,520.00","11,105.00","11,215.00","316,714"
2019-09-06,"11,170.00","11,255.00","10,820.00","10,820.00","310,438"
2019-09-09,"10,800.00","10,850.00","10,665.00","10,725.00","221,784"
2019-09-10,"10,695.00","10,815.00","10,690.00","10,725.00","123,996"
2019-09-11,"10,680.00","10,780.00","10,335.00","10,430.00","339,650"
2019-09-12,"10,450.00","10,480.00","10,305.00","10,370.00","234,872"
2019-09-16,"10,400.00","10,530.00","10,230.00","10,420.00","206,908"
2019-09-17,"10,425.00","10,505.00","10,365.00","10,490.00","110,488"
2019-09-18,"10,475.00","10,575.00","10,400.00","10,505.00","164,374"
2019-09-19,"10,510.00","10,520.00","10,250.00","10,505.00","274,870"
2019-09-20,"10,495.00","10,495.00","10,355.00","10,425.00","132,324"
2019-09-23,"10,400.00","10,415.00","10,060.00","10,255.00","338,562"
2019-09-24,"10,280.00","10,330.00","10,190.00","10,290.00","150,460"
2019-09-25,"10,305.00","10,320.00","10,170.00","10,290.00","126,348"
